deviceGroupName,site_name,lat,lon
M11453,COMPLEJO EDUCATIVO PROFESOR ALBERTO MONTIEL V.,13.831917,-89.225804
M11457,CENTRO ESCOLAR  CANTON SANTA LUCIA LOS PALONES,13.634386,-89.168039
M11495,COMPLEJO EDUCATIVO GOLDTREE LIEBES,13.64164,-89.189115
M70041,CENTRO ESCOLAR CANTÓN AMAYON,13.517006,-89.170156
M70042,"COMPLEJO EDUCATIVO CASERÍO  PLAN DEL MANGO, CANTÓN AMAYÓN",13.506397,-89.196005
M70046,CENTRO ESCOLAR CANTÓN AZACUALPA,13.540411,-89.175897
M70097,"CENTRO ESCOLAR CASERÍO AMAYITO, CANTÓN AZACUALPA",13.558455,-89.172059
M11471,COMPLEJO EDUCATIVO MANUEL JOSE ARCE,13.576754,-89.204239
M11474,CENTRO ESCOLAR CANTON LAS BARROSAS,13.543607,-89.195798
M11482,COMPLEJO EDUCATIVO COLONIA EL MILAGRO,13.663358,-89.182185
M11483,CENTRO ESCOLAR DOCTOR EUSEBIO CORDÓN CEA,13.65522,-89.173343
M11486,COMPLEJO EDUCATIVO COLONIA SAN ANTONIO,13.654829,-89.186351
M11488,CENTRO ESCOLAR PROFESOR JUSTO GONZALEZ,13.656594,-89.184962
M11489,COMPLEJO EDUCATIVO COMUNIDAD 10 DE OCTUBRE,13.65207,-89.165455
M11492,COMPLEJO EDUCATIVO  IGNACIO PACHECO CASTRO,13.662227,-89.185291
M11493,CENTRO ESCOLAR DOMINGO FAUSTINO SARMIENTO,13.667384,-89.189545
M10160,COMPLEJO EDUCATIVO RESIDENCIAL ALTAVISTA,13.735009,-89.080578
M11499,COMPLEJO EDUCATIVO COLONIA TIERRA VIRGEN,13.716209,-89.084048
M11500,CENTRO ESCOLAR OLOF PALME,13.737816,-89.054851
M11501,CENTRO ESCOLAR URBANIZACION SANTA TERESA,13.748288,-89.058845
M11507,COMPLEJO EDUCATIVO JORGE LARDE,13.734779,-89.059149
M11508,"CENTRO ESCOLAR COLONIA LA PALMA, CANTON LA PALMA",13.715319,-89.071978
M11512,CENTRO ESCOLAR CANTON LA PALMA,13.721173,-89.068626
M11516,COMPLEJO EDUCATIVO CANTÓN LA FLOR,13.734985,-89.043294
M11518,COMPLEJO EDUCATIVO COLONIA ROSA LINDA,13.742279,-89.057355
M70063,"CENTRO ESCOLAR  CASERÍO COMUNIDAD SAN ANDRES, CANTÓN LA PALMA",13.721621,-89.074797
M70064,"COMPLEJO EDUCATIVO CASERÍO COMUNIDAD VALLE LAS DELICIAS, CANTÓN LAS DELICIAS",13.724162,-89.085577
M11522,INSTITUTO NACIONAL ALBERT CAMUS,13.714816,-89.206404
M11532,CENTRO ESCOLAR GENERAL FRANCISCO MORAZÁN,13.715622,-89.205302
M11574,CENTRO ESCOLAR  REPUBLICA DE CANADA,13.690446,-89.235955
M11592,CENTRO ESCOLAR JOSE MEJIA,13.668459,-89.223889
M11593,CENTRO ESCOLAR SAN ANTONIO ABAD,13.712904,-89.22405
M11594,CENTRO ESCOLAR JUANA LOPEZ,13.717258,-89.228851
M11597,CENTRO ESCOLAR JUAN RAMON JIMENEZ,13.685157,-89.22544
M11598,CENTRO ESCOLAR REPUBLICA DE ITALIA,13.710011,-89.259782
M11626,CENTRO ESCOLAR SALVADOR MUGDAN,13.709315,-89.185942
M11627,CENTRO ESCOLAR SANTIAGO I BARBERENA,13.692441,-89.208952
M11631,CENTRO ESCOLAR LYNDON B. JOHNSON,13.675768,-89.189583
M11639,CENTRO ESCOLAR COLONIA SANTA LUCÍA,13.708091,-89.22158400000001
