deviceGroupName,site_name,latitude,longitude
M70020,M70020,13.858756,-89.173965
M86386,M86386,13.910544,-89.182795
M10068,M10068,13.681393,-89.121981
M11392,M11392,13.716373,-89.106342
M11393,M11393,13.681691,-89.134501
M11396,M11396,13.692615,-89.13158
M11399,M11399,13.700593,-89.082
M11405,M11405,13.70877,-89.11463
M11407,M11407,13.712675,-89.11293
M11410,M11410,13.694236,-89.11002
M70025,M70025,13.700968,-89.079073
M70026,M70026,13.706353,-89.105446
M11416,M11416,13.746712,-89.184464
M11430,M11430,13.743288,-89.211789
M11432,M11432,13.732592,-89.219874
M11434,M11434,13.728625,-89.186201
M11449,M11449,13.830273,-89.202342
M11450,M11450,13.808025,-89.228884
M11452,M11452,13.814559,-89.232129
M70031,M70031,13.854669,-89.226186
M70037,M70037,13.749213,-89.271593
M86391,M86391,13.822646,-89.253629
M11464,M11464,13.559217,-89.163813
M11468,M11468,13.618163,-89.196903
M70043,M70043,13.506826,-89.184051
M70047,M70047,13.609464,-89.213559
M70049,M70049,13.587148,-89.21612
M70050,M70050,13.589296,-89.198527
M70051,M70051,13.586833,-89.156825
M70054,M70054,13.571122,-89.14843
M70055,M70055,13.604213,-89.199061
M70056,M70056,13.573903,-89.173235
M70057,M70057,13.610664,-89.162416
M70058,M70058,13.597569,-89.166891
M11477,M11477,13.545622,-89.21602
M86381,M86381,13.48574,-89.206379
M11478,M11478,13.653802,-89.183415
M11481,M11481,13.657432,-89.171243
M11491,M11491,13.643517,-89.186346
M10650,M10650,13.735625,-89.067777
M11503,M11503,13.738325,-89.050261
M11505,M11505,13.742397,-89.053104
M11506,M11506,13.736671,-89.056619
M11511,M11511,13.769821,-89.081241
M11514,M11514,13.785361,-89.07936
M11517,M11517,13.741258,-89.08257
M70061,M70061,13.746146,-89.044004
M86438,M86438,13.720039,-89.080469
M11533,M11533,13.700803,-89.180622
M11540,M11540,13.712013,-89.180732
M11541,M11541,13.70158,-89.203238
M11542,M11542,13.688239,-89.186748
M11543,M11543,13.693896,-89.222341
M11546,M11546,13.686076,-89.19577
M11552,M11552,13.703247,-89.17659
M11572,M11572,13.663062,-89.220839
M11575,M11575,13.667933,-89.206449
M11581,M11581,13.703059,-89.206092
M11583,M11583,13.709603,-89.199118
M11585,M11585,13.719437,-89.19933
M11591,M11591,13.655101,-89.197669
M11596,M11596,13.67398,-89.22849
M11599,M11599,13.677431,-89.197238
M11628,M11628,13.68182,-89.205782
M11629,M11629,13.685604,-89.214857
M11630,M11630,13.696368,-89.184632
M11632,M11632,13.713375,-89.212611
M11633,M11633,13.713485,-89.181225
M11642,M11642,13.696967,-89.186607
M11643,M11643,13.693882,-89.212685
M11646,M11646,13.690658,-89.201577
M11649,M11649,13.712801,-89.194711
M11652,M11652,13.701665,-89.191648
M11654,M11654,13.713146,-89.18177
M11658,M11658,13.715926,-89.205922
M11662,M11662,13.695516,-89.178002
M11666,M11666,13.696197,-89.188357
M11670,M11670,13.706166,-89.175466
M11671,M11671,13.705279,-89.237411
M11672,M11672,13.718318,-89.181101
M11673,M11673,13.702122,-89.192047
M11681,M11681,13.701014,-89.186278
M88125,M88125,13.70346137,-89.2249294
M11682,M11682,13.64219,-89.117884
M11683,M11683,13.641288,-89.120023
M11687,M11687,13.634614,-89.106018
M14799,M14799,13.63929,-89.121515
M11691,M11691,13.651878,-89.152526
M11694,M11694,13.643858,-89.13458
M11696,M11696,13.642825,-89.132485
M70077,M70077,13.663974,-89.152245
M70083,M70083,13.693576,-89.161232
M10086,M10086,13.740426,-89.138868
M11702,M11702,13.721693,-89.117722
M11703,M11703,13.722322,-89.13073
M11706,M11706,13.719525,-89.124907
M11707,M11707,13.706019,-89.15379
M11709,M11709,13.725834,-89.12418
M11713,M11713,13.71665,-89.121975
M11714,M11714,13.706088,-89.140165
M11719,M11719,13.726888,-89.139395
M11720,M11720,13.688508,-89.134056
M11721,M11721,13.69856,-89.156865
M11726,M11726,13.707716,-89.161645
M11727,M11727,13.694628,-89.148757
M11728,M11728,13.696742,-89.160064
M11734,M11734,13.702345,-89.142459
M11737,M11737,13.697192,-89.137576
M14818,M14818,13.723708,-89.133543
M70085,M70085,13.734915,-89.120375
M10246,M10246,13.810071,-89.148498
M11742,M11742,13.780219,-89.120159
M11743,M11743,13.74575,-89.10717
M11744,M11744,13.761525,-89.096521
M11753,M11753,13.781426,-89.121265
M70089,M70089,13.798867,-89.138713
M70090,M70090,13.750314,-89.090254
M11758,M11758,13.775371,-89.170485
M11766,M11766,13.775775,-89.158026
M11778,M11778,13.768988,-89.144665
M11780,M11780,13.729252,-89.16909
M11781,M11781,13.717856,-89.167649
M11782,M11782,13.726177,-89.167616
M14732,M14732,13.743521,-89.169484
M60185,M60185,13.737748,-89.16396
M86384,M86384,13.788448,-89.16731
M74005,M74005,13.605783,-89.148184
M74006,M74006,13.507381,-89.107595
M74012,M74012,13.57145,-89.021106
M74015,M74015,13.615002,-89.049051
M74093,M74093,13.586615,-88.99961
M74027,M74027,13.4996,-89.070554
M74030,M74030,13.481495,-89.071808
M74091,M74091,13.469089,-89.087512
M12003,M12003,13.359921,-89.044002
M60274,M60274,13.391212,-89.017996
M74040,M74040,13.41574,-89.048487
M12031,M12031,13.501884,-88.923504
M12072,M12072,13.507718,-88.93584
M12073,M12073,13.519211,-88.932667
M12076,M12076,13.508573,-88.939895
M74059,M74059,13.523707,-88.93178
M74060,M74060,13.554956,-88.928405
M86242,M86242,13.4384,-88.968189
M86376,M86376,13.569161,-88.974675
M12081,M12081,13.558694,-89.060429
M12088,M12088,13.492235,-88.886751
M12091,M12091,13.495312,-88.859198
M12095,M12095,13.431915,-88.819979
M12096,M12096,13.409373,-88.875975
M12104,M12104,13.467044,-88.844681
M12112,M12112,13.434557,-88.845765
M12113,M12113,13.509824,-88.882912
M12115,M12115,13.455217,-88.883284
M12116,M12116,13.504179,-88.869318
M12117,M12117,13.512555,-88.872742
M12122,M12122,13.512293,-88.872848
M12123,M12123,13.508417,-88.875354
M74068,M74068,13.451875,-88.832335
M74069,M74069,13.463902,-88.873396
M74070,M74070,13.317861,-88.819041
M74071,M74071,13.319001,-88.807405
M12128,M12128,13.353037,-88.943416
M74079,M74079,13.29364,-88.8874
M74084,M74084,13.351146,-88.903475
M74086,M74086,13.330604,-88.890248
