deviceGroupName,site_name,lat,lon
11661,COMPLEJO EDUCATIVO REPÚBLICA DEL BRASIL,13.686332,-89.195397
11665,CENTRO ESCOLAR JOSE SIMEON CAÑAS,13.681081,-89.191367
11667,COMPLEJO EDUCATIVO JOAQUIN RODEZNO,13.701335,-89.195274
11668,CENTRO ESCOLAR JOSE MATIAS DELGADO,13.692774,-89.193215
11669,CENTRO ESCOLAR GENERAL RAMON BELLOSO,13.683019,-89.214622
11674,COMPLEJO EDUCATIVO DR. HUMBERTO ROMERO ALVERGUE,13.685837,-89.193333
11675,CENTRO ESCOLAR LIGA PANAMERICANA,13.681828,-89.183645
11677,COMPLEJO EDUCATIVO REPÚBLICA DEL ECUADOR,13.689142,-89.201627
11679,COMPLEJO EDUCATIVO  REPÚBLICA DE COSTA RICA,13.695629,-89.188563
11680,CENTRO ESCOLAR REPUBLICA DE CHILE,13.702168,-89.182356
13663,COMPLEJO EDUCATIVO REPÚBLICA DOMINICANA,13.716795,-89.190562
60321,"CENTRO ESCOLAR CASERÍO EL GUAYABO, CANTÓN SAN ISIDRO LOS PLANES",13.728793,-89.269276
70070,COMPLEJO EDUCATIVO CANTÓN JOYA GRANDE,13.666521,-89.091466
11690,COMPLEJO EDUCATIVO CANTÓN LAS CASITAS,13.637487,-89.156958
11695,CENTRO ESCOLAR GENERAL MANUEL BELGRANO,13.642588,-89.133748
70080,CENTRO ESCOLAR  CANTÓN EL GUAJE,13.637455,-89.147087
10057,CENTRO ESCOLAR CIUDAD CREDISA,13.734259,-89.131184
10096,CENTRO ESCOLAR SAN ANTONIO,13.740462,-89.138871
11580,CENTRO ESCOLAR AMATEPEC,13.696247,-89.169245
11705,CENTRO ESCOLAR  ALTOS DE MONTE CARMELO,13.689363,-89.154811
11708,INSTITUTO NACIONAL SAN LUIS,13.714151,-89.131377
11711,CENTRO ESCOLAR  BOSQUES DEL RIO,13.720576,-89.120894
11712,COMPLEJO EDUCATIVO COLONIA VILLA ALEGRE,13.735578,-89.139782
11715,CENTRO ESCOLAR REPARTO LOS SANTOS,13.712501,-89.135524
11716,CENTRO ESCOLAR  RAFAELA SOTOMAYOR DE ALARCIA,13.709548,-89.144641
11723,COMPLEJO EDUCATIVO REPÚBLICA DE COREA,13.712283,-89.148464
11724,CENTRO ESCOLAR  COLONIA GUAYACAN,13.713742,-89.124601
11731,CENTRO ESCOLAR COLONIA SAN RAFAEL,13.682353,-89.140356
11732,CENTRO ESCOLAR  ANTONIO JOSE CAÑAS,13.704505,-89.154855
11735,CENTRO ESCOLAR  BARRIO EL PROGRESO,13.706958,-89.155239
11736,CENTRO ESCOLAR PROFESOR DANIEL CORDÓN SALGUERO,13.704996,-89.145206
13668,CENTRO ESCOLAR AGUSTIN LINARES,13.715527,-89.130282
13713,CENTRO ESCOLAR URBANIZACION LAS MARGARITAS,13.723311,-89.143354
11740,CENTRO ESCOLAR  PROFESORA MARIA INOCENCIA DE PAREDES,13.816149,-89.1436
11745,CENTRO ESCOLAR  CANTÓN VERACRUZ,13.736081,-89.093867
11751,COMPLEJO EDUCATIVO  FE Y ALEGRIA,13.818892,-89.139358
11752,CENTRO ESCOLAR PRESBÍTERO NICOLÁS AGUILAR,13.779604,-89.119678
14806,CENTRO ESCOLAR ALTAVISTA,13.720307,-89.098011
14840,CENTRO ESCOLAR LA CIMA DOS,13.725466,-89.106874
60247,CENTRO ESCOLAR URBANIZACIÓN CUMBRES DE SAN BARTOLO,13.730671,-89.111479
60250,"CENTRO ESCOLAR CASERÍO RESIDENCIAL ALTAVISTA, CANTÓN VERACRUZ",13.734653,-89.088485
86237,CENTRO ESCOLAR CANTÓN LA UNIÓN,13.741244,-89.102124
11759,CENTRO ESCOLAR  COMUNIDAD PRADERA III,13.793202,-89.162214
11763,COMPLEJO EDUCATIVO  DOCTOR ORLANDO DE SOLA,13.724849,-89.151264
11764,CENTRO ESCOLAR  CANTON CALLE REAL,13.758179,-89.166753
11765,CENTRO ESCOLAR  CANTON ARENAL,13.759382,-89.178614
11767,CENTRO ESCOLAR  CANTON SAN JOSE CORTEZ,13.754729,-89.145528
11769,CENTRO ESCOLAR  CASERIO SAN ANTONIO LAS VEGAS,13.770507,-89.166783
11770,CENTRO ESCOLAR  EDELMIRA MOLINA,13.718074,-89.169893
11771,CENTRO ESCOLAR  REINO DE HOLANDA,13.712889,-89.173026
11777,CENTRO ESCOLAR CANTÓN MILINGO,13.744367,-89.168781
11922,COMPLEJO EDUCATIVO  CANTÓN EL PEDREGAL,13.443175,-89.016759
11932,COMPLEJO EDUCATIVO MERCEDES LA CEIBA,13.647466,-88.912794
10084,CENTRO ESCOLAR URBANIZACION MONTELIMAR,13.598005,-89.123145
11933,COMPLEJO EDUCATIVO CASERÍO VALLE NUEVO,13.477823,-89.156951
11934,CENTRO ESCOLAR CANTON EL CHILAMATE,13.559527,-89.122995
11935,INSTITUTO NACIONAL DE OLOCUILTA,13.576319,-89.11629
11937,CENTRO ESCOLAR PROFESORA MARIA EVANGELINA ALVAREZ,13.613288,-89.122247
11941,CENTRO ESCOLAR PROFESORA ROSA MIRIAN ABREGO DE HERNANDEZ,13.50565,-89.140985
11943,COMPLEJO EDUCATIVO ALBERTO MASFERRER,13.572435,-89.116454
11944,CENTRO ESCOLAR CANTON SAN SEBASTIAN,13.540353,-89.129142
11946,CENTRO ESCOLAR MARIA ESTER ALFARO,13.571358,-89.038357
11952,CENTRO ESCOLAR CANTON CONCEPCION LOURDES,13.637325,-88.988368
11954,INSTITUTO NACIONAL DE SAN EMIGDIO,13.649283,-88.976656
11955,CENTRO ESCOLAR AMALIA ROSALES CAMPOS,13.575272,-89.096944
11959,COMPLEJO EDUCATIVO CLAUDIA LARS,13.608822,-89.095446
11962,CENTRO ESCOLAR  CANTÓN EL GOLFO,13.439704,-88.91586
11963,CENTRO ESCOLAR CANTON LA LONGANIZA,13.4604,-88.930086
11964,CENTRO ESCOLAR  CANTON LA LAGUNETA,13.593117,-88.874572
11975,CENTRO ESCOLAR PROFESORA JUANA SARA LOPEZ DE MIRANDA,13.504561,-89.088374
11976,CENTRO ESCOLAR DOCTOR GILBERTO LISANDRO VASQUEZ SOSA,13.501967,-89.074291
11988,INSTITUTO NACIONAL  DE SAN LUIS TALPA,13.476213,-89.087755
11991,CENTRO ESCOLAR CASERÍO EL SALAMAR,13.470884,-89.056729
11992,CENTRO ESCOLAR CANTON NUEVO EDEN,13.474328,-89.077931
11994,CENTRO ESCOLAR CASERIO LA ZUNGANERA,13.399991,-89.120625
12000,CENTRO ESCOLAR CANTON SAN BARTOLO,13.628033,-88.991292
12001,CENTRO ESCOLAR LA PAZ,13.618606,-89.022754
12012,COMPLEJO EDUCATIVO  CANTON LAS ISLETAS,13.407543,-89.010495
12015,CENTRO ESCOLAR MARIA TERESA DUKE,13.489343,-89.047074
12017,CENTRO ESCOLAR NEMESIA LUNA,13.547575,-89.036174
12032,CENTRO ESCOLAR PROFESOR JOSE RICARDO CATIVO,13.513503,-88.914753
12037,CENTRO ESCOLAR CANTON SAN JOSE CARRIZAL,13.627982,-88.940129
12049,INSTITUTO NACIONAL JOSE INGENIEROS,13.50768,-88.938282
12051,CENTRO ESCOLAR CENTRO AMERICA,13.53015,-88.970256
12053,CENTRO ESCOLAR ANASTACIO AQUINO,13.534682,-88.922209
12059,CENTRO ESCOLAR CASERIO LA FLECHA,13.492093,-88.99915
12061,CENTRO ESCOLAR 14 DE ABRIL,13.513907,-88.969181
12124,CENTRO ESCOLAR CATARINO DE JESÚS ORTÍZ,13.510879,-88.87052
11306,CENTRO ESCOLAR ROQUE DALTON,13.955597,-89.19077
11310,CENTRO ESCOLAR CANTON LAS TUNAS,13.925269,-89.199189
11312,CENTRO ESCOLAR PROFESORA MARIA TERESA GUZMAN,13.959344,-89.191871
11313,CENTRO ESCOLAR CANTÓN PIÑALITOS,13.968146,-89.185301
86383,"CENTRO ESCOLAR CASERÍO LA SABANA, CANTÓN PISHISHAPA",13.972006,-89.175414
10065,INSTITUTO NACIONAL COLONIA VALLE DEL SOL,13.821251,-89.190191
11318,COMPLEJO EDUCATIVO COLONIA LOS NARANJOS,13.792482,-89.172348
